time,high,low,open,close,volume
2025-01-18 08:33:50,102964.98,102956.08,102958.98,102964.51,9
2025-01-18 08:33:51,102961.17,102952.08,102959.44,102953.49,8
2025-01-18 08:33:52,102962.37,102952.23,102952.53,102953.63,7
2025-01-18 08:33:53,102953.66,102952.24,102952.24,102953.66,3
2025-01-18 08:33:54,102957.91,102952.29,102952.5,102953.69,7
2025-01-18 08:33:55,102973.46,102962.52,102972.06,102963.92,10
2025-01-18 08:33:56,102969.04,102962.42,102962.42,102964.72,7
2025-01-18 08:33:57,102967.86,102962.44,102962.44,102967.86,9
2025-01-18 08:33:58,102974.86,102969.67,102969.67,102973.48,6
2025-01-18 08:33:59,102978.7,102972.09,102972.09,102978.7,4
2025-01-18 08:34:00,102979.71,102977.3,102977.37,102979.71,4
2025-01-18 08:34:01,102982.98,102978.32,102978.32,102982.44,3
2025-01-18 08:34:02,103019.28,102986.2,102986.2,103002.96,7
2025-01-18 08:34:03,103007.6,103002.21,103002.21,103007.6,2
2025-01-18 08:34:04,103026.65,103001.55,103003.02,103015.39,9
2025-01-18 08:34:05,103017.7,103012.88,103015.06,103014.28,6
2025-01-18 08:34:06,103060.59,103009.08,103009.08,103049.62,10
2025-01-18 08:34:07,103074.37,103047.62,103048.75,103074.37,9
2025-01-18 08:34:08,103103.24,103074.82,103078.76,103091.7,11
2025-01-18 08:34:09,103091.59,103064.92,103090.19,103072.13,11
2025-01-18 08:34:10,103070.92,103052.74,103067.53,103068.43,7
2025-01-18 08:34:11,103073.85,103065.43,103065.44,103073.85,6
2025-01-18 08:34:12,103093.48,103074.25,103074.25,103087.98,8
2025-01-18 08:34:13,103087.98,103072.1,103086.58,103073.5,8
2025-01-18 08:34:14,103088.03,103075.1,103075.1,103085.98,7
2025-01-18 08:34:15,103083.71,103072.12,103082.31,103073.52,8
2025-01-18 08:34:16,103076.62,103072.13,103075.12,103073.54,4
2025-01-18 08:34:17,103068.57,103067.15,103067.15,103068.57,3
2025-01-18 08:34:18,103076.78,103069.4,103075.38,103070.8,3
2025-01-18 08:34:19,103070.81,103067.31,103069.41,103068.72,3
2025-01-18 08:34:20,103079.14,103066.32,103067.22,103079.14,5
2025-01-18 08:34:21,103072.36,103062.87,103070.96,103064.28,4
2025-01-18 08:34:22,103060.38,103047.89,103058.98,103049.3,5
2025-01-18 08:34:23,103049.32,103047.91,103047.91,103049.32,2
2025-01-18 08:34:24,103049.34,103030.49,103047.93,103031.9,5
2025-01-18 08:34:25,103031.91,103019.81,103030.51,103021.21,5
2025-01-18 08:34:26,103021.22,103019.73,103019.82,103021.13,2
2025-01-18 08:34:27,103015.85,103008.16,103014.44,103009.57,6
2025-01-18 08:34:29,103012.22,103009.79,103009.79,103012.22,5
2025-01-18 08:34:30,103012.25,103010.83,103010.83,103012.25,3
2025-01-18 08:34:31,103026.07,103014.76,103014.76,103026.07,5
2025-01-18 08:34:32,103042.45,103024.68,103024.68,103042.45,2
2025-01-18 08:34:33,103043.81,103035.87,103035.87,103043.81,3
2025-01-18 08:34:34,103052.18,103025.12,103040.83,103026.52,10
2025-01-18 08:34:35,103026.99,103025.14,103025.59,103026.56,4
2025-01-18 08:34:36,103026.59,103025.17,103025.17,103026.59,3
2025-01-18 08:34:37,103026.6,103024.91,103025.2,103026.31,2
2025-01-18 08:34:38,103026.33,103024.92,103024.92,103026.33,2
2025-01-18 08:34:39,103026.34,103015.28,103024.94,103016.69,5
2025-01-18 08:34:40,103016.7,103010.22,103015.3,103011.62,2
2025-01-18 08:34:41,103011.64,103010.23,103010.23,103011.64,2
2025-01-18 08:34:42,103011.66,103010.25,103010.25,103011.66,2
2025-01-18 08:34:43,103011.68,103010.27,103010.27,103011.68,2
2025-01-18 08:34:44,103011.7,103010.29,103010.29,103011.7,2
